,Polarization_bool,retweetCount
1795,0,2177
1796,-1,1499
1797,1,2074
1798,0,4661
1799,-1,2311
1800,-1,1020
1801,1,964
1802,-1,997
1803,1,1572
1804,-1,2406
1805,0,1350
1806,1,338
1807,-1,2962
1808,1,1414
1809,1,1139
1810,0,1207
1811,1,652
1812,-1,396
1813,-1,10054
1814,1,2197
1815,-1,195
1816,-1,277
1817,1,788
1818,1,5460
1819,1,342
1820,1,5849
1821,1,233
1822,1,6707
1823,-1,9662
1824,1,4149
1825,1,1760
1826,1,925
1827,1,1216
1828,1,577
1829,1,489
1830,-1,238
1831,-1,1315
1832,-1,2730
1833,1,391
1834,1,2601
1835,1,1035
1836,1,8802
1837,1,25750
1838,1,411
1839,-1,3052
1840,-1,468
1841,0,689
1842,0,4562
1843,1,1582
1844,1,347
1845,0,946
1846,-1,1485
1847,-1,969
1848,1,518
1849,1,1013
1850,1,280
1851,1,360
1852,1,1796
1853,-1,814
1854,1,1593
1855,1,1150
1856,-1,797
1857,-1,292
1858,-1,696
1859,-1,3033
1860,1,2529
1861,1,3123
1862,-1,339
1863,-1,854
1864,1,293
1865,1,723
1866,1,15601
1867,-1,806
1868,0,400
1869,0,222
1870,1,1290
1871,1,806
1872,1,782
1873,1,748
1874,0,1166
1875,1,646
1876,1,2462
1877,1,831
1878,-1,212
1879,1,1316
1880,-1,810
1881,-1,398
1882,1,253
1883,1,1758
1884,-1,685
1885,-1,902
1886,-1,1222
1887,-1,1843
1888,-1,981
1889,1,673
1890,1,3366
1891,1,438
1892,1,2260
1893,-1,175
1894,-1,2527
1895,-1,3485
1896,-1,839
